time,wind_speed,temp_air,ghi,dhi
2019-01-09 12:00:00+00:00,1.6450144,0.47280884,346.85132,72.29346
2019-01-09 13:00:00+00:00,2.0209348,9.1552734e-05,263.6441,62.56218
2019-01-09 14:00:00+00:00,1.5463926,-0.6125183,146.8643,47.86007
2019-01-09 15:00:00+00:00,0.24462768,-0.791626,29.001528,16.660278
2019-01-09 16:00:00+00:00,0.7311921,-2.7243042,-3.4722223e-05,0.0
2019-01-09 17:00:00+00:00,1.4113704,-3.3521118,-3.4722223e-05,0.0
2019-01-09 18:00:00+00:00,1.8384801,-2.9938965,-3.4722223e-05,0.0
2019-01-09 19:00:00+00:00,2.4407234,-2.3540955,-3.4722223e-05,0.0
2019-01-09 20:00:00+00:00,2.8862417,-1.5598755,-3.4722223e-05,0.0
2019-01-09 21:00:00+00:00,3.0039573,-1.2744751,-3.4722223e-05,0.0
2019-01-09 22:00:00+00:00,3.7328203,-1.2206726,-3.4722223e-05,0.0
2019-01-09 23:00:00+00:00,4.2443447,-1.1839905,-3.4722223e-05,0.0
2019-01-10 00:00:00+00:00,4.2914677,-1.1896667,-3.4722223e-05,0.0
2019-01-10 01:00:00+00:00,4.3403916,-1.0143738,-3.4722223e-05,0.0
2019-01-10 02:00:00+00:00,4.1042285,-0.8397217,-3.4722223e-05,0.0
2019-01-10 03:00:00+00:00,3.7862883,-0.8802185,-3.4722223e-05,0.0
2019-01-10 04:00:00+00:00,3.527918,-0.9441223,-3.4722223e-05,0.0
2019-01-10 05:00:00+00:00,2.9011784,-0.85110474,-3.4722223e-05,0.0
2019-01-10 06:00:00+00:00,2.2543166,-0.87957764,-3.4722223e-05,0.0
2019-01-10 07:00:00+00:00,2.0723495,-0.53466797,13.080209,11.376771
2019-01-10 08:00:00+00:00,1.7551824,0.32092285,68.818886,64.30409
2019-01-10 09:00:00+00:00,1.046895,0.92211914,130.28195,114.93876
2019-01-10 10:00:00+00:00,0.41169167,1.3296814,173.29204,136.11336
2019-01-10 11:00:00+00:00,0.67569035,1.8701172,200.14166,140.2102
2019-01-10 12:00:00+00:00,1.069925,1.9087219,212.65932,120.07588
2019-01-10 13:00:00+00:00,1.7088065,1.6385193,173.85461,86.15527
2019-01-10 14:00:00+00:00,1.9246683,0.5519104,79.803474,59.55236
2019-01-10 15:00:00+00:00,1.4597633,-0.14483643,16.357292,16.202465
2019-01-10 16:00:00+00:00,1.9255594,-0.45620728,-3.4722223e-05,0.0
